Species,Block,Latitude,Longitude,AddressAccuracy,Id,Year,Week,Day,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2,41,41.95469,-87.800991,9,0,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,41,41.95469,-87.800991,9,1,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,62,41.994991,-87.769279,9,2,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,79,41.974089,-87.824812,8,3,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,79,41.974089,-87.824812,8,4,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,15,41.9216,-87.666455,8,5,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,25,41.891118,-87.654491,8,6,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,11,41.867108,-87.654224,8,7,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,11,41.867108,-87.654224,8,8,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,11,41.896282,-87.655232,8,9,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,21,41.919343,-87.694259,8,10,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,22,41.921965,-87.632085,8,11,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,22,41.921965,-87.632085,8,12,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,22,41.688324,-87.676709,8,13,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,22,41.688324,-87.676709,8,14,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,11,41.862292,-87.64886,8,15,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,17,41.720848,-87.666014,9,16,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,22,41.731922,-87.677512,8,17,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
